any,1590,1597,3210,5376,7187,23915,40166,40235,40314,40345,40485,40716,41362
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,444,444,444,444,449,,,,,444,444,444,444
Y,404,404,404,404,404,,,,,404,404,404,404
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,521,500,500,500,521,521,500,500,500,500,500,500,500
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,149,149,149,149,149,149,,,,140,149,165,169
Y,829,789,799,799,799,819,869,889,889,829,819,889,889
,,,,,,,,,,,,,
Y,1319,1299,1319,1359,1299,1319,1399,1399,1399,1319,1319,1399,1379
Y,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,219,219,219,219,219,219,219,219,219,219,219,219,219
Y,,219,219,,,,,,,,219,,219
,,,,,,,,,,,,,
Y,539,499,539,539,539,539,398,398,398,539,539,398,398
,,,,,,,,,,,,,
Y,699,789,799,699,699,699,699,699,699,799,799,699,699
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,299,299,299,299,299,299,299,299,299,299,299,299,299
,,,,,,,,,,,,,
Y,999,1019,999,999,999,999,999,999,999,1019,999,999,999
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,939,939,939,939,939,939,979,979,979,929,939,979,979
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,1299,1319,1299,1319,1299,1299,1339,1339,1339,1299,1299,1359,1359
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,,,,,,1819,1819,1819,,,1829,1839
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,899,,,,,699,699,699,899,919,,
Y,739,739,739,739,739,739,739,739,739,739,739,739,739
Y,549,529,549,529,579,549,649,649,669,549,599,649,639
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,1020,1099,1020,1060,1000,1020,1100,1100,1100,1059,1149,1100,1080
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,219,219,,,,,,,,219,,219
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,99,99,99,99,99,99,99,99,99,99,99,99,139
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,439,449,439,439,439,449,439,439,439,449,459,439,439
Y,696,719,699,699,699,699,699,699,699,719,719,689,699
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,839,819,819,819,819,839,859,,859,819,839,859,849
Y,1329,1329,1329,1339,1329,1329,1399,,1399,1329,1329,1359,1339
Y,839,819,819,819,819,839,859,859,859,819,839,859,849
Y,1319,1319,1319,1339,1319,1329,1419,1419,1419,1319,1319,1399,1339
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,189,189,179,189,189,179,199,199,199,179,179,219,189
Y,419,439,439,439,439,439,,,,419,439,499,489
Y,656,659,659,649,659,659,,,,649,659,699,749
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,149,149,149,149,149,149,159,159,159,149,149,159,159
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,149,149,,,,,,,,149,,159
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,239,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,99,99,99,99,99,99,99,99,99,99,99,99,99
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,629,599,619,619,619,629,669,669,669,629,639,669,669
,,,,,,,,,,,,,
Y,919,969,959,969,969,959,839,839,839,949,979,839,879
,,,,,,,,,,,,,
Y,1069,1089,1099,1079,1099,1099,1099,1099,1099,1049,1079,1099,1099
,,,,,,,,,,,,,
Y,0,40,40,40,40,40,40,40,40,40,40,40,40
Y,499,439,499,519,499,499,439,439,439,489,519,439,449
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,239,239,239,239,239,239,239,239,239,239,239,239,239
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,319,319,319,319,319,319,199,199,199,319,319,199,199
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,99,99,99,99,99,99,79,,79,99,99,99,129
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,249,200,249,249,249,249,279,259,259,219,219,279,259
Y,30/40,30/40,30/40,30/40,30/40,30/40,40,40,40,30/40,30/40,40,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,239,239,239,239,239,239,,,,239,239,239,239
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,65,65,65,65,65,65,65,65,65,65,65,65,65
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,159,159,159,159,159,159,159,159,159,159,159,159,159
,,,,,,,,,,,,,
Y,339,339,339,339,339,339,339,339,339,339,339,339,339
Y,349/369,349/369,349/369,349/369,349/369,349/369,359/389,359/389,359/389,349/369,349/369,359/389,359/389
Y,849,849,849,849,849,849,749,749,749,839,849,739,769
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,60,,,,,,,,60,60,,
Y,169,169,169,169,169,169,169,169,169,169,169,169,169
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,759,779,759,769,759,759,,,,769,759,799,799
Y,1249,1259,1259,1279,1259,1269,,,,1269,1259,1269,1269
Y,759,779,759,769,759,759,,,,769,759,799,799
Y,1249,1259,1259,1279,1259,1269,,,,1269,1259,1269,1269
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,599,599,599,599,599,599,499,499,499,599,599,499,549
Y,849,839,839,859,859,839,654,654,654,859,839,654,694
,,,,,,,,,,,,,
Y,546,500,549,549,549,549,,,,500,500,549,549
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,299,299,299,299,299,299,,,,299,319,319,319
Y,469,469,449,449,449,469,339,339,339,469,469,359,319
Y,549,500,549,549,549,549,549,549,549,500,500,549,549
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,130/150,130/150,130/150,130/150,130/150,130/150,130,130,130,130/150,130/150,130,120/200
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,129,129,129,129,129,129,139,139,139,129,169,159,159
,,,,,,,,,,,,,
Y,129,129,169,129,129,129,139,139,139,129,129,159,159
,,,,,,,,,,,,,
Y,129,129,129,129,129,129,139,139,139,129,169,159,159
Y,129,129,129,129,129,129,139,139,139,129,169,159,159
Y,129,129,129,129,129,129,139,139,139,129,169,159,159
Y,129,129,129,129,129,129,139,139,139,129,169,159,159
Y,129,129,129,129,129,129,130,139,139,149,159,149,159
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,129,129,129,129,129,129,139,139,139,129,169,159,159
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,239,239,239,239,239,239,,,,239,239,239,239
,,,,,,,,,,,,,
Y,239,239,239,239,239,239,239,239,239,239,239,239,239
Y,15,15,15,15,15,,,,,15,15,15,15
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,149,149,149,149,149,149,169,169,169,149,149,165,169
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,239,239,239,239,239,239,239,239,239,239,239,239,239
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,799,799,799,799,799,799,,,,799,799,799,799
Y,1239,1239,1269,1249,1249,1259,,,,1269,1249,1329,1309
Y,799,799,799,799,799,799,,,,799,799,799,799
Y,1239,1239,1269,1249,1249,1259,,,,1269,1249,1329,1309
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,,30,,,,,,,,,,,
,,,,,,,,,,,,,
Y,200,200,200,200,200,200,225,225,225,200,200,225,225
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,239,239,259,239,239,259,229,229,229,249,259,229,249
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,769,769,769,769,769,769,769,769,769,759,789,769,769
Y,1249,1259,1249,1259,1249,1239,1239,1239,1239,1259,1269,1219,1239
Y,429,429,429,429,429,429,439,439,439,429,429,419,439
Y,899,839,899,859,819,899,919,919,919,859,839,919,899
Y,,719,,,,,,,,749,739,,
Y,,1179,,,,,,,,1209,1199,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,199,199,199,199,199,199,,,,199,199,169,169
Y,879,799,839,819,859,819,869,849,869,839,799,889,879
Y,1249,1199,1219,1199,1249,1219,1089,1119,1089,1229,1199,1099,1099
Y,359,329,359,329,339,349,329,329,329,329,339,359,299
Y,579,579,579,579,579,579,579,579,579,579,579,579,599
,,,,,,,,,,,,,
Y,989,989,989,989,979,989,889,889,889,979,989,949,939
Y,1439,1439,1469,1469,1469,1469,1419,1419,1419,1469,1479,1389,1439
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,949,949,939,949,919,949,889,889,889,919,949,919,899
Y,1429,1429,1439,1459,1399,1459,1399,1399,1399,1439,1469,1379,1399
Y,819,779,759,819,789,819,779,779,779,839,819,839,829
Y,1299,1269,1299,1339,1299,1329,1289,1289,1289,1339,1319,1399,1319
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,429,449,449,449,449,449,,,,429,449,449,429
Y,696,709,689,709,709,699,,,,729,689,709,679
Y,419,399,419,419,419,399,399,379,399,369,419,399,409
Y,636,649,649,669,649,649,629,629,629,659,649,649,669
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,469,459,479,439,479,459,459,449,459,459,469,459,479
Y,716,729,729,749,759,729,689,689,689,729,729,709,739
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,439,449,439,439,439,439,439,439,439,419,459,439,439
,,,,,,,,,,,,,
Y,696,719,699,699,699,699,699,699,699,719,719,689,699
,,,,,,,,,,,,,
Y,149,149,149,149,149,149,149,,149,149,149,149,149
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,69/100,69/100,69/100,69/100,69/100,69/100,,,,69/100,69/100,69/100,50/100
Y,499,519,519,519,519,539,,,,519,539,539,519
Y,716,719,739,709,739,739,,,,709,739,759,799
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,159,179,189,189,189,199,,,,169,199,269,249
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,497,500,500,500,500,500,,,,500,500,500,500
Y,319,319,319,319,319,319,,,,319,319,319,319
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,569,529,569,549,549,569,,,,549,569,599,569
Y,766,779,769,759,789,789,,,,759,789,819,859
,,,,,,,,,,,,,
Y,499,519,519,519,519,539,,,,519,539,539,519
Y,716,719,739,709,739,739,,,,709,739,759,799
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,199,119,199,199,199,199,199,199,199,119,119,199,199
Y,199,119,199,199,199,199,199,199,199,119,119,199,199
Y,199,119,199,199,199,199,199,199,199,119,119,199,199
Y,199,119,199,199,199,199,199,199,199,119,119,199,199
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,639,619,619,619,639,639,619,619,619,639,639,639,599
,,,,,,,,,,,,,
Y,999,999,999,999,999,999,999,1019,999,999,999,1019,999
Y,200,200,200,200,200,200,250,250,250,200,200,250,280
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,50,50,50,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,1223,1199,1232,1244,1234,1234,1269,1269,1269,1199,1199,1269,1249
,,,,,,,,,,,,,
Y,746,759,749,749,749,749,,,,779,759,749,749
Y,489,499,489,489,489,489,,,,499,499,489,489
,,,,,,,,,,,,,
Y,499,499,499,499,499,499,,,,499,499,409,419
Y,596,560,599,599,599,599,,,,560,560,599,599
,,,,,,,,,,,,,
Y,489,489,489,489,489,489,,,,469,499,489,489
Y,746,759,749,749,749,749,,,,759,759,749,749
,,,,,,,,,,,,,
Y,746,759,749,749,749,749,,,,779,759,749,749
Y,489,499,489,489,489,489,,,,499,499,489,489
,,,,,,,,,,,,,
Y,50,50,50,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,739,699,739,739,719,739,789,789,789,699,719,789,769
Y,909,869,889,889,889,909,909,909,909,869,889,909,899
Y,1394,1367,1394,1414,1394,1410,1469,1469,1469,1369,1369,1469,1389
Y,669,549,669,649,649,649,649,649,649,649,649,649,649
Y,1049,1039,1049,1069,1069,1049,1069,1069,1069,1049,1049,1069,1049
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,30/40,30/40,30/40,30/40,30/40,30/40,40,40,40,30/40,30/40,40,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,239,239,239,239,239,239,239,239,239,239,239,239,239
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,30,30,30,30,30,30,30,30,30,30,30,30,30
Y,249,200,249,249,249,249,279,259,259,219,219,279,259
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Y,89,89,89,89,89,89,99,99,99,89,89,99,99
,,,,,,,,,,,,,
,,,,,,,,,,,,,
